;Inv.Nr.;Datierung_x;Künstler_x;Datierung_y;Künstler_y
283;G-1991-002;1868;unbekannter Künstler, evtl. J. H. Wittmaack?;-;-
284;G-1991-003;1868;unbekannter Künstler, [evtl.  J.H Wittmaacks];-;-
285;G-1991-056;1868;unbekannter Künstler, Datierung und Schrift des Pat.- Namens sprechen evtl. für J. H. Wittmack;-;-
286;G-1991-068;1868;unbekannter Künstler, [evtl J.H. Wittmaack];;
287;G-1991-101;1868;unbekannter Künstler;;
288;G-1991-271;1868;;-;-
289;G-1991-312;1868;;-;-
290;G-1991-436;1868;unbekannter Künstler;-;-
291;G-1991-507;1868;unbekannter Künstler;-;-
292;G-1991-528;1868;;-;-
293;G-1991-533;1868;;-;-
294;G-1991-534;1868;Wittmaack, Johann Heinrich, ? (1822-1874);-;-
295;G-1991-586;1868;;-;-
296;G-1991-626;1868;;-;-
297;G-1991-6370;1868;unbekannter Künstler;;
298;G-1990-191;1868 - 1887;unbekannter Künstler;-;-
299;G-1990-041;1869;unbekannter Künstler;-;-
300;G-1991-024;1869;unbekannter Künstler;;
301;G-1991-081;1869;unbekannter Künstler, evtl. J. H. Wittmack?;-;-
302;G-1991-102;1869;unbekannter Künstler;;
303;G-1991-131;1869;unbekannter Künstler, [Wittmaack?];-;-
304;G-1991-163;1869;unbekannter Künstler, Wittmaack?;-;-
305;G-1991-218;1869;Wittmaack, Johann Heinrich, ? (1822-1874);-;-
306;G-1991-276;1869;;-;-
307;G-1991-361;1869;;-;-
308;G-1991-387;1869;unbekannter Künstler;-;-
309;G-1991-389;1869;unbekannter Künstler;-;-
310;G-1991-404;1869;;-;-
311;G-1991-408;1869;;-;-
312;G-1991-422;1869;;-;-
313;G-1991-426;1869;;-;-
314;G-1991-619;1869;Wittmaack, Johann Heinrich, ? keine Signatur (1822-1874);-;-
315;G-1990-117;1870;unbekannter Künstler;-;-
316;G-1990-145;1870;;-;-
317;G-1991-063;1870;unbekannter Künstler, evtl. J. H. Wittmack;-;-
318;G-1990-025;1871;Wittmaack, Johann Heinrich (1822-1874);-;-
319;G-1990-086;1871;unbekannter Künstler;-;-
320;G-1990-119;1871;unbekannter Künstler;-;-
321;G-1991-070;1871;unbekannter Künstler, der Beschriftung nach evtl. J. H. Wittmack;-;-
322;G-1991-113;1871;unbekannter Künstler, [Wittmaack?];-;-
323;G-1991-129;1871;Wittmaack, Johann Heinrich, ? (1822-1874);-;-
324;G-1991-165;1871;unbekannter Künstler, Wittmaack? wurde mit W signiert;-;-
325;G-1991-521;1871;unbekannter Künstler;-;-
326;G-1990-122;1872;unbekannter Künstler;-;-
327;G-1990-185;1872;unbekannter Künstler;-;-
328;G-1991-014;1872;unbekannter Künstler;-;-
329;G-1991-048;1872;unbekannter Künstler;;
330;G-1991-095;1872;Viertel, Fritz;-;-
331;G-1991-103;1872;unbekannter Künstler;-;-
332;G-1991-144;1872;Wittmaack, Johann Heinrich, ? (1822-1874);-;-
333;G-1991-162;1872;Wittmaack, Johann Heinrich, ? (1822-1874);-;-
334;G-1991-176;1872;;-;-
335;G-1991-211;1872;;-;-
336;G-1991-279;1872;Wittmaack, Johann Heinrich (1822-1874);-;-
337;G-1991-360;1872;;-;-
338;G-1991-593;1872;;-;-
339;G-1990-021;1873;unbekannter Künstler;-;-
340;G-1990-050;1873;unbekannter Künstler;-;-
341;G-1990-051;1873;unbekannter Künstler;-;-
342;G-1990-189;1873;unbekannter Künstler;-;-
343;G-1991-017;1873;unbekannter Künstler;-;-
344;g-1991-116;1873;unbekannter Künstler, evtl. Wittmaack?;;
345;G-1991-120;1873;unbekannter Künstler, evtl. Wittmaack?;-;-
346;G-1991-132;1873;unbekannter Künstler, [Wittmack?];-;-
347;G-1991-136;1873;unbekannter Künstler, Wittmaack?;-;-
348;G-1991-208;1873;unbekannter Künstler, evtl. J. H. Wittmack?;-;-
349;G-1991-407;1873;unbekannter Künstler;-;-
350;G-1991-438;1873;;-;-
351;G-1991-509;1873;;-;-
352;G-1991-526;1873;;-;-
353;G-1991-602;1873;;-;-
354;G-1991-618;1873;;-;-
355;G-1990-010;1874;unbekannter Künstler;-;-
356;G-1990-017;1874;unbekannter Künstler;-;-
357;G-1991-009;1874;unbekannter Künstler;;
358;G-1991-016;1874;unbekannter Künstler;-;-
359;G-1991-034;1874;unbekannter Künstler;;
360;G-1991-078;1874;unbekannter Künstler;-;-
361;G-1991-092;1874;unbekannter Künstler;;
362;G-1991-171;1874;unbekannter Künstler;;
363;G-1991-175;1874;;-;-
364;G-1991-223;1874;;-;-
365;G-1991-224;1874;;-;-
366;G-1991-257;1874;unbekannter Künstler;-;-
367;G-1991-356;1874;;-;-
368;G-1991-365;1874;unbekannter Künstler;-;-
369;G-1991-369;1874;;-;-
370;G-1991-543;1874;;-;-
371;G-1991-546;1874;;-;-
372;G-1991-547;1874;unbekannter Künstler;-;-
373;G-1990-056;1875;unbekannter Künstler;-;-
374;G-1990-095;1875;unbekannter Künstler;-;-
375;G-1990-132;1875;unbekannter Künstler;-;-
376;G-1991-005;1875;unbekannter Künstler;-;-
377;G-1991-031;1875;unbekannter Künstler;;
378;G-1991-057;1875;unbekannter Künstler, signiert mit ,Pr';;
379;G-1991-058;1875;unbekannter Künstler;-;-
380;G-1991-066;1875;unbekannter Künstler;-;-
381;G-1991-077;1875;unbekannter Künstler, Pr.;-;-
382;G-1991-143;1875;unbekannter Künstler;;
383;G-1991-148;1875;unbekannter Künstler;;
384;G-1991-154;1875;unbekannter Künstler;-;-
385;G-1991-260;1875;;-;-
386;G-1991-373;1875;;-;-
387;G-1991-391;1875;unbekannter Künstler;-;-
388;G-1991-393;1875;;-;-
389;G-1991-433;1875;;-;-
390;G-1991-450;1875;unbekannter Künstler;-;-
391;G-1991-457;1875;unbekannter Künstler;-;-
392;G-1991-468;1875;unbekannter Künstler;-;-
393;G-1991-564;1875;;-;-
394;G-1991-601;1875;unbekannter Künstler;-;-
395;G-1990-108;1876;unbekannter Künstler, evtl. Fürst;-;-
396;G-1990-124;1876;unbekannter Künstler;-;-
397;G-1990-176;1876;unbekannter Künstler;-;-
398;G-1990-192;1876;unbekannter Künstler;-;-
399;G-1991-012;1876;unbekannter Künstler;-;-
400;G-1991-026;1876;Wulff,  [Nt?];-;-
401;G-1991-075;1876;unbekannter Künstler;-;-
402;G-1991-090;1876;unbekannter Künstler;-;-
403;G-1991-093;1876;unbekannter Künstler;-;-
404;G-1991-133;1876;unbekannter Künstler;-;-
405;G-1991-199;1876;;-;-
406;G-1991-200;1876;unbekannter Künstler;-;-
407;G-1991-232;1876;unbekannter Künstler;-;-
408;G-1991-314;1876;;-;-
409;G-1991-484;1876;;-;-
410;G-1991-508;1876;unbekannter Künstler;-;-
411;G-1991-541;1876;;-;-
412;G-1991-592;1876;;-;-
413;G-1991-621;1876;;-;-
414;G-1990-020;1877;unbekannter Künstler;-;-
415;G-1990-023;1877;unbekannter Künstler;-;-
416;G-1990-112;1877;unbekannter Künstler, evtl. Wittmaack;-;-
417;G-1990-127;1877;unbekannter Künstler;-;-
418;G-1991-010;1877;unbekannter Künstler;-;-
419;G-1991-015;1877;unbekannter Künstler;;
420;G-1991-025;1877;unbekannter Künstler;-;-
421;G-1991-069;1877;unbekannter Künstler;-;-
422;G-1991-089;1877;unbekannter Künstler;;
423;G-1991-141;1877;unbekannter Künstler;-;-
424;G-1991-157;1877;unbekannter Künstler;-;-
425;G-1991-168;1877;unbekannter Künstler;;
426;G-1991-240;1877;;-;-
427;G-1991-283;1877;unbekannter Künstler;-;-
428;G-1991-320;1877;unbekannter Künstler;-;-
429;G-1991-375;1877;unbekannter Künstler;-;-
430;G-1991-455;1877;;-;-
431;G-1991-490;1877;unbekannter Künstler;-;-
432;G-1991-514;1877;unbekannter Künstler;-;-
433;G-1991-555;1877;unbekannter Künstler;-;-
434;G-1991-629;1877;;-;-
435;G-1990-121;1878;unbekannter Künstler;-;-
436;G-1991-007;1878;unbekannter Künstler;-;-
437;G-1991-067;1878;unbekannter Künstler;;
438;G-1991-104;1878;unbekannter Künstler;-;-
439;G-1991-128;1878;unbekannter Künstler;-;-
440;G-1991-134;1878;unbekannter Künstler;-;-
441;G-1991-153;1878;unbekannter Künstler, Julius Fürst?;-;-
442;G-1991-169;1878;unbekannter Künstler;;
443;G-1991-249;1878;unbekannter Künstler;-;-
444;G-1991-359;1878;Breul, Clemens, oder Breue?;-;-
445;G-1991-434;1878;unbekannter Künstler;-;-
446;G-1991-439;1878;unbekannter Künstler;-;-
447;G-1991-443;1878;unbekannter Künstler;-;-
448;G-1991-464;1878;unbekannter Künstler;-;-
449;G-1991-465;1878;unbekannter Künstler;-;-
450;G-1991-489;1878;unbekannter Künstler;-;-
451;G-1991-515;1878;unbekannter Künstler;-;-
452;G-1991-537;1878;;-;-
453;G-1991-539;1878;;-;-
454;G-1991-544;1878;unbekannter Künstler;-;-
455;G-1991-553;1878;unbekannter Künstler, Wittmaack ?;-;-
456;G-1991-616;1878;;-;-
457;G-1990-005;1879;unbekannter Künstler;-;-
458;G-1990-019;1879;unbekannter Künstler;-;-
459;G-1991-035;1879;unbekannter Künstler;;
460;G-1991-040;1879;unbekannter Künstler;;
461;G-1991-088;1879;unbekannter Künstler;-;-
462;G-1991-150;1879;unbekannter Künstler;-;-
463;G-1991-151;1879;unbekannter Künstler;-;-
464;G-1991-214;1879;;-;-
465;G-1991-288;1879;unbekannter Künstler;-;-
466;G-1991-386;1879;unbekannter Künstler;-;-
467;G-1991-403;1879;;-;-
468;G-1991-410;1879;unbekannter Künstler;-;-
469;G-1991-504;1879;unbekannter Künstler;-;-
470;G-1991-525;1879;;-;-
471;G-1991-149;1879 - 1878;unbekannter Künstler;-;-
472;G-1991-011;1880;unbekannter Künstler;-;-
473;G-1991-022;1880;unbekannter Künstler;;
474;G-1991-072;1880;unbekannter Künstler;-;-
475;G-1991-109;1880;unbekannter Künstler;-;-
476;G-1991-112;1880;unbekannter Künstler;;
477;G-1991-145;1880;unbekannter Künstler;-;-
478;G-1991-147;1880;unbekannter Künstler;-;-
479;G-1991-167;1880;unbekannter Künstler;-;-
480;G-1991-194;1880;;-;-
481;G-1991-217;1880;unbekannter Künstler;-;-
482;G-1991-329;1880;unbekannter Künstler;-;-
483;G-1991-377;1880;unbekannter Künstler;-;-
484;G-1991-402;1880;unbekannter Künstler;-;-
485;G-1991-441;1880;;-;-
486;G-1991-446;1880;unbekannter Künstler;-;-
487;G-1991-473;1880;unbekannter Künstler;-;-
488;G-1991-517;1880;unbekannter Künstler;-;-
489;G-1991-535;1880;Wittmaack, Johann Heinrich, ? (1822-1874);-;-
490;G-1991-548;1880;unbekannter Künstler;-;-
491;G-1991-557;1880;;-;-
492;G-1991-584;1880;;-;-
493;G-1991-588;1880;unbekannter Künstler;-;-
494;G-1991-598;1880;;-;-
495;G-1991-599;1880;;-;-
496;G-1991-611;1880;unbekannter Künstler;-;-
497;G-1991-624;1880;;-;-
498;G-1990-036;1881;unbekannter Künstler;-;-
499;G-1990-057;1881;unbekannter Künstler;-;-
500;G-1990-080;1881;unbekannter Künstler;-;-
501;G-1990-081;1881;unbekannter Künstler;-;-
502;G-1991-027;1881;unbekannter Künstler;-;-
503;G-1991-060;1881;unbekannter Künstler;-;-
504;G-1991-062;1881;unbekannter Künstler;-;-
505;G-1991-064;1881;unbekannter Künstler;-;-
506;G-1991-074;1881;unbekannter Künstler;-;-
507;G-1991-096;1881;unbekannter Künstler;-;-
508;G-1991-122;1881;unbekannter Künstler;-;-
509;G-1991-127;1881;unbekannter Künstler;-;-
510;G-1991-186;1881;unbekannter Künstler;-;-
511;G-1991-243;1881;;-;-
512;G-1991-246;1881;;-;-
513;G-1991-263;1881;;-;-
514;G-1991-264;1881;unbekannter Künstler;-;-
515;G-1991-270;1881;;-;-
516;G-1991-289;1881;unbekannter Künstler;-;-
517;G-1991-309;1881;;-;-
518;G-1991-311;1881;;-;-
519;G-1991-323;1881;unbekannter Künstler;-;-
520;G-1991-347;1881;;-;-
521;G-1991-376;1881;;-;-
522;G-1991-381;1881;unbekannter Künstler;-;-
523;G-1991-395;1881;unbekannter Künstler;-;-
524;G-1991-397;1881;;-;-
525;G-1991-427;1881;unbekannter Künstler;-;-
526;G-1991-444;1881;unbekannter Künstler;-;-
527;G-1991-480;1881;;-;-
528;G-1991-482;1881;unbekannter Künstler;-;-
529;G-1991-512;1881;unbekannter Künstler;-;-
530;G-1991-520;1881;unbekannter Künstler;-;-
531;G-1991-563;1881;unbekannter Künstler;-;-
532;G-1991-565;1881;unbekannter Künstler;-;-
533;G-1991-609;1881;unbekannter Künstler;-;-
534;G-1990-136b;1881;unbekannter Künstler;-;-
535;G-1990-028;1882;unbekannter Künstler;-;-
536;G-1990-045;1882;unbekannter Künstler;-;-
537;G-1990-073;1882;unbekannter Künstler;-;-
538;G-1990-075;1882;unbekannter Künstler;-;-
539;G-1990-140;1882;;;
540;G-1991-021;1882;unbekannter Künstler;-;-
541;G-1991-038;1882;unbekannter Künstler;;
542;G-1991-084;1882;unbekannter Künstler;-;-
543;G-1991-085;1882;unbekannter Künstler;;
544;G-1991-105;1882;unbekannter Künstler;-;-
545;G-1991-117;1882;unbekannter Künstler;-;-
546;G-1991-137;1882;unbekannter Künstler;;
547;G-1991-166;1882;unbekannter Künstler;-;-
548;G-1991-181;1882;unbekannter Künstler;-;-
549;G-1991-183;1882;unbekannter Künstler;-;-
550;G-1991-187;1882;;-;-
551;G-1991-251;1882;unbekannter Künstler;-;-
552;G-1991-259;1882;unbekannter Künstler;-;-
553;G-1991-300;1882;unbekannter Künstler;-;-
554;G-1991-316;1882;;-;-
555;G-1991-367;1882;;-;-
556;G-1991-370;1882;;-;-
557;G-1991-418;1882;unbekannter Künstler;-;-
558;G-1991-440;1882;;-;-
559;G-1991-469;1882;unbekannter Künstler;-;-
560;G-1991-474;1882;unbekannter Künstler;-;-
561;G-1991-530;1882;;-;-
562;G-1991-538;1882;Wittmaack, Johann Heinrich, ? (1822-1874);-;-
563;G-1991-574;1882;unbekannter Künstler;-;-
564;G-1991-576;1882;;-;-
565;G-1991-603;1882;;-;-
566;G-1991-632;1882;;-;-
567;G-1990-022;1883;unbekannter Künstler, evtl. J. Fürst;-;-
568;G-1990-033;1883;unbekannter Künstler;-;-
569;G-1990-060;1883;unbekannter Künstler;-;-
570;G-1990-062;1883;unbekannter Künstler;-;-
571;G-1990-067;1883;unbekannter Künstler;-;-
572;G-1990-079;1883;unbekannter Künstler;-;-
573;G-1990-084;1883;unbekannter Künstler;-;-
574;G-1990-135;1883;;-;-
575;G-1991-033;1883;unbekannter Künstler;-;-
576;G-1991-079;1883;unbekannter Künstler;-;-
577;G-1991-106;1883;unbekannter Künstler;-;-
578;G-1991-107;1883;unbekannter Künstler;-;-
